model,attribute,value,count,precision,recall,f1
Gradient Boosting,gender,Male,4320,0.8829787234042553,0.06161841128433556,0.11519777931991672
Gradient Boosting,gender,Female,4320,0.7803030303030303,0.03768752286864252,0.07190226876090751
Gradient Boosting,age_group,80+,1008,0.7727272727272727,0.026153846153846153,0.050595238095238096
Gradient Boosting,age_group,18-30,1224,0.8387096774193549,0.03324808184143223,0.06396063960639606
Gradient Boosting,age_group,70-80,1296,0.8732394366197183,0.07506053268765134,0.13823857302118173
Gradient Boosting,age_group,60-70,720,0.8571428571428571,0.06818181818181818,0.12631578947368421
Gradient Boosting,age_group,30-40,1512,0.8723404255319149,0.04515418502202643,0.08586387434554973
Gradient Boosting,age_group,50-60,1296,0.7608695652173914,0.04424778761061947,0.08363201911589008
Gradient Boosting,age_group,40-50,1440,0.875,0.05976520811099253,0.11188811188811189
Gradient Boosting,age_group,<18,144,0.5,0.021505376344086023,0.041237113402061855
